Title,paper_ID,Authors & year,Language,Duplicates,,doi
Characteristics of affected third parties and cooperative behavior in social dilemmas,ENG00413,"Cardador, Northcraft, Rockmann, & Grant (2016)",ENG,,,10.1080/00224545.2016.1140116
How Do Groups Solve Local Commons Dilemmas? Lessons from Experimental Economics in the Field,ENG00414,Cardenas (2000),ENG,,,10.1023/A:1011422313042
Real wealth and experimental cooperation: Experiments in the field lab,ENG00415,Cardenas (2003),ENG,,,10.1016/s0304-3878(02)00098-6
Norms from outside and from inside: an experimental analysis on the governance of local ecosystems,ENG00416,Cardenas (2004),ENG,,,10.1016/j.forpol.2004.03.006
"Groups, commons and regulations: experiments with villagers and students in Colombia",ENG00417,Cárdenas (2005),ENG,,,10.1057/9780230522343_11
Wealth Inequality and Overexploitation of the Commons: Field Experiments in Colombia,ENG00418,Cardenas (2007),ENG,,,10.1515/9780691187389-009
Social Norms and Behavior in the Local Commons as Seen Through the Lens of Field Experiments,ENG00419,Cardenas (2011),ENG,,,10.1007/s10640-010-9452-8
Cooperation in large networks: An experimental approach,ENG00420,Cárdenas & Jaramillo (2009),ENG,,,NA
"Between-group competition, intra-group cooperation and relative performance",ENG00421,Cárdenas & Mantilla (2015),ENG,,,10.3389/fnbeh.2015.00033
What do people bring into the game? Experiments in the field about cooperation in the commons,ENG00422,Cardenas & Ostrom (2004),ENG,,,10.1016/j.agsy.2004.07.008
Communication and co-operation in a common-pool resource dilemma: a field experiment,ENG00423,"Cardenas, Ahn, & Ostrom (2004)",ENG,,, 10.1057/9780230523371_12
To what extent do Latin Americans trust and cooperate? Field experiments on social exclusion in Six Latin American countries,ENG00424,"Cárdenas, Chong, & Ñopo (2008)",ENG,,,10.1353/eco.0.0027
Gender and Cooperation in Children: Experiments in Colombia and Sweden,ENG00425,"Cardenas, Dreber, von Essen, & Ranehill (2014)",ENG,,,10.1371/journal.pone.0090923
"""Dynamics of Rules and Resources: Three New Field Experiments on Water, Forests and Fisheries""",ENG00426,"Cardenas, Janssen, & Bousquet (2013)",ENG,,,10.4337/9781781009079.00020
Collective action for watershed management: field experiments in Colombia and Kenya,ENG00427,"Cardenas, Rodriguez & Johnson (2011)",ENG,,,10.1017/s1355770x10000392
Economic inequality and burden-sharing in the provision of local environmental quality,ENG00428,"Cardenas, Stranlund & Willis (2002)",ENG,,,10.1016/s0921-8009(01)00285-3
Local Environmental Control and Institutional Crowding-Out,ENG00429,"Cardenas, Stranlund, & Willis (2000)",ENG,,,10.1016/s0305-750x(00)00055-3
Social preferences are stable over long periods of time,ENG00430,"Carlsson, Johansson-Stenman & Khanh Nam (2014)",ENG,,,10.1016/j.jpubeco.2014.05.009
Effects of Sex Role in a Maximizing Difference Game,ENG00431,Carment (1974),ENG,,,10.1177/002200277401800305
"Effects of future dependence, liking, and repeated requests for help on helping behavior",ENG00432,"Carnevale, Pruitt, & Carrington (1982)",ENG,,,10.2307/3033669
When in Rome: conformity and the provision of public goods,ENG00433,Carpenter (2004),ENG,,,10.1016/j.socec.2004.04.009
Punishing free-riders: How group size affects mutual monitoring and the provision of public goods,ENG00434,Carpenter (2007a),ENG,,,10.1016/j.geb.2006.08.011
The demand for punishment,ENG00435,Carpenter (2007b),ENG,,,10.1016/j.jebo.2005.05.004
An Intercultural Examination of Cooperation in the Commons,ENG00436,Carpenter & Cardenas (2011),ENG,,,10.1177/0022002710393922
What norms trigger punishment?,ENG00437,Carpenter & Matthews (2009),ENG,,,10.1007/s10683-009-9214-z
"Norm enforcement: anger, indignation, or reciprocity?",ENG00438,Carpenter & Matthews (2012),ENG,,,10.1111/j.1542-4774.2011.01059.x
Competitive work environments and social preferences: field experimental evidence from a Japanese fishing community,ENG00439,Carpenter & Seki (2006),ENG,,,10.2202/1538-0645.1460
Do social preferences increase productivity? Field experimental evidence from fishermen in Toyama Bay,ENG00440,Carpenter & Seki (2011),ENG,,,10.1111/j.1465-7295.2009.00268.x
Strong reciprocity and team production: Theory and evidence,ENG00441,"Carpenter, Bowles, Gintis & Hwang (2009)",ENG,,,10.1016/j.jebo.2009.03.011
"Cooperation, trust, and social capital in Southeast Asian urban slums",ENG00442,"Carpenter, Daniere & Takahashi (2004)",ENG,,,10.1016/j.jebo.2003.11.007
Imitation and the incentive to contribute early in a sequential public good game,ENG00443,Cartwright & Patel (2010),ENG,,,10.1111/j.1467-9779.2010.01470.x
Efficiency in a forced contribution threshold public good game,ENG00444,Cartwright & Stepanova (2017),ENG,,,10.1007/s00182-017-0570-1
Cooperation under alternative punishment institutions: An experiment,ENG00445,Casari & Luini (2009),ENG,,,10.2139/ssrn.755746
Promoting cooperation in nonlinear social dilemmas through peer punishment,ENG00446,Cason & Gangadharan (2015),ENG,,,10.1007/s10683-014-9393-0
A laboratory study of voluntary public goods provision with imperfect monitoring and communication,ENG00447,Cason & Khan (1999),ENG,,,10.1016/s0304-3878(98)00124-2
Enhancing fundraising with refund bonuses,ENG00448,Cason & Zubrickas (2017),ENG,,,10.1016/j.geb.2015.11.001
Voluntary Participation and Spite in Public Good Provision Experiments: An International Comparison,ENG00449,"Cason, Saijo & Yamato (2002)",ENG,,,10.1023/A:1020317321607
Non-excludable public good experiments,ENG00450,"Cason, Saijo, Yamato & Yokotani (2004)",ENG,,,10.1016/j.geb.2003.11.002
Asymmetric and endogenous within-group communication in competitive coordination games,ENG00451,"Cason, Sheremeta, & Zhang (2017)",ENG,,,10.1007/s10683-017-9519-2
The commons dilemma: A simulation testing the effects of resource visibility and territorial devision,ENG00452,Cass & Edney (1978),ENG,,,10.1007/bf00889415
"Coordination and cooperation in local, random and small world networks: Experimental evidence",ENG00453,Cassar (2007),ENG,,,10.3731/topologica.1.019
Context matters to explain field experiments: Results from Colombian and Thai fishing villages,ENG00454,"Castillo, Bousquet, Janssen, Worrapimphong, & Cardenas (2011)",ENG,,,10.1016/j.ecolecon.2011.05.011
Where are you from? Cultural differences in public good experiments,ENG00455,Castro (2008),ENG,,,10.1016/j.socec.2008.04.002
Formal insurance and the dynamics of social capital: Experimental evidence from Uganda,ENG00456,"Cecchi, Duchoslav, & Bulte (2016)",ENG,,,10.1093/jae/ejw002
Effects of race and strategy in the Prisoner's Dilemma (PD),ENG00457,Cederblom & Diers (1970),ENG,,,10.1080/00224545.1970.9922453
Are athletes more cooperative than nonathletes? A laboratory experiment,ENG00458,"Celse, Nicolas, & Schilling (2017)",ENG,,,10.1002/mde.2862
"The effects of cultural and historical information and contribution threshold on public contributions: an experimental study on the conservation of heritage houses in Penang, Malaysia",ENG00459,"Ch'ng, Khoo & Chin (2014)",ENG,,,10.1007/s10824-013-9206-x
The effect of social fragmentation on public good provision: An experimental study,ENG00460,Chakravarty & Fonseca (2014),ENG,,,10.1016/j.socec.2014.07.002
Discrimination via exclusion: An experiment on group identity and club goods,ENG00461,Chakravarty & Fonseca (2017),ENG,,,10.1111/jpet.12182
"Religious fragmentation, social identity and cooperation: Evidence from an artefactual field experiment in India",ENG00462,"Chakravarty, Fonseca, Ghosh, & Marjit (2016)",ENG,,,10.1016/j.euroecorev.2015.12.006
The logic of collective action: some experimental results,ENG00463,Chamberlin (1978),ENG,,,10.1002/bs.3830230505
Crowding-out voluntary contributions to public goods,ENG00464,"Chan, Godby, Mestelman & Muller (2002)",ENG,,,10.1016/s0167-2681(01)00232-3
"Communication, equity and the voluntary provision of a public good by heterogeneous groups",ENG00465,"Chan, Mestelman, Muller & Moir (2012)",ENG,,,10.1016/j.socec.2011.10.012
The Impact of Socially Projected Group Composition on Behavior in a Commons Dilemma: A Self-Attention Perspective,ENG00466,Chapman (1991),ENG,,,10.1007/bf02686774
The relationship between behavioral measures of self-control: Temporal discounting and the single-player iterated prisoner's dilemma,ENG00467,Charlton (2007),ENG,,,NA
Gender differences in cooperation with group membership,ENG00468,Charness & Rustichini (2011),ENG,,,10.1016/j.geb.2010.07.006
Starting small toward voluntary formation of efficient large groups in public goods provision,ENG00469,Charness & Yang (2014),ENG,,,10.1016/j.jebo.2014.03.005
"Identities, selection, and contributions in a public-goods game",ENG00470,"Charness, Cobo-Reyes & Jiménez (2014)",ENG,,,10.1016/j.geb.2014.05.002
Endogenous transfers in the Prisoner's Dilemma game: An experimental test of cooperation and coordination,ENG00471,"Charness, Fréchette & Qin (2007)",ENG,,,10.2139/ssrn.905024
Social surplus determines cooperation rates in the one-shot Prisoner's Dilemma,ENG00472,"Charness, Rigotti, & Rustichini (2016)",ENG,,,10.1016/j.geb.2016.08.010
A New Consequence of Simpson's Paradox: Stable Cooperation in One-Shot Prisoner's Dilemma From Populations of Individualistic Learners,ENG00473,"Chater, Vlaev & Grinberg (2008)",ENG,,,10.1037/0096-3445.137.3.403
On the long-run efficacy of punishments and recommendations in a laboratory public goods game,ENG00474,Chaudhuri & Paichayontvijit (2017),ENG,,,10.1038/s41598-017-12490-5
Social Learning and Norms in a Public Goods Experiment with Inter-Generational Advice,ENG00475,"Chaudhuri, Graziano & Maitra (2006)",ENG,,,10.2139/ssrn.580481
Belief heterogeneity and contributions decay among conditional cooperators in public goods games,ENG00476,"Chaudhuri, Paichayontvijit, & Smith (2017)",ENG,,,10.1016/j.joep.2016.11.004
"Cooperation in social dilemmas, trust and reciprocity",ENG00477,"Chaudhuri, Sopher, & Strand (2002)",ENG,,,10.1016/s0167-4870(02)00065-x
The Group-Based Binding Pledge as a Solution to Public Goods Problems,ENG00478,Chen (1996),ENG,,,10.1006/obhd.1996.0048
"Tolerance of free-riding: The effects of defection size, defection pattern, and social orientation in a repeated public goods dilemma",ENG00479,Chen & Bachrach (2003),ENG,,,10.1016/s0749-5978(02)00511-3
The effects of communication and commitment in a public goods social dilemma,ENG00480,Chen & Komorita (1994),ENG,,,10.1006/obhd.1994.1090
Sequential Choice in a Step-Level Public Goods Dilemma: The Effects of Criticality and Uncertainty,ENG00481,"Chen, Au & Komorita (1996)",ENG,,,10.1006/obhd.1996.0003
"Too smart to be selfish? Measures of cognitive ability, social preferences, and consistency",ENG00482,"Chen, Chiu, Smith & Yamada (2013)",ENG,,,10.1016/j.jebo.2013.03.032
Effects of oxytocin and vasopressin on the neural response to unreciprocated cooperation within brain regions involved in stress and anxiety in men and women,ENG00483,"Chen, Hackett, DeMarco, Feng, Stair, Haroon, Ditzen, Pagnoni, & Rilling (2015)",ENG,,,10.1007/s11682-015-9411-7
Within vs between-subject effects of intranasal oxytocin on the neural response to cooperative and non-cooperative social interactions,ENG00484,"Chen, Gautam, Haroon, & Rilling (2017)",ENG,,,10.1016/j.psyneuen.2017.01.006
Which hat to wear? Impact of natural identities on coordination and cooperation,ENG00485,"Chen, Li, Liu & Shih (2014)",ENG,,,10.1016/j.geb.2013.12.002
Unintended Consequences of Cooperation Inducing and Maintaining Mechanisms in Public Goods Dilemmas: Sanctions and Moral Appeals,ENG00486,"Chen, Pillutla & Yao (2009)",ENG,,,10.1177/1368430208098783
When does group norm or group identity predict cooperation in a public goods dilemma? The moderating effects of idiocentrism and allocentrism,ENG00487,"Chen, Wasti & Triandis (2007)",ENG,,,10.1016/j.ijintrel.2006.02.004
The Effects of Communicating Threats and Promises upon the Bargaining Process,ENG00488,"Cheney, Harford & Solomon (1972)",ENG,,,10.1177/002200277201600108
Enforcing Compliance with Environmental Agreements in the Absence of Strong Institutions: An Experimental Analysis,ENG00489,Cherry & McEvoy (2013),ENG,,,10.1007/s10640-012-9581-3
"Heterogeneity, coordination and the provision of best-shot public goods",ENG00490,"Cherry, Cotten & Kroll (2013)",ENG,,,10.1007/s10683-012-9349-1
The impact of endowment heterogeneity and origin on public good contributions: evidence from the lab,ENG00491,"Cherry, Kroll & Shogren (2005)",ENG,,,10.1016/j.jebo.2003.11.010
Conditional cooperation and cultural worldviews,ENG00492,"Cherry, McEvoy, & Sælen (2017)",ENG,,,10.1016/j.econlet.2017.06.034
Selective incentives and generalized information exchange,ENG00493,Cheshire (2007),ENG,,,10.1177/019027250707000109
Skilled players cooperate less in multi-player games,ENG00494,"Chesney, Chuah, Hoffmann, Hui, & Larner, J. (2009)",ENG,,,10.1386/jgvw.6.1.21_1
New insights into conditional cooperation and punishment from a strategy method experiment,ENG00495,Cheung (2014),ENG,,,10.1007/s10683-013-9360-1
Direct election of group decision-makers can facilitate cooperation in the public goods game,ENG00496,Chiang & Hsu (2017),ENG,,,10.1007/s10726-016-9478-6
Which cultural group I love depends on how I feel about my identities: The moderating effect of blendedness on the priming of cultural in-group love in undergraduate Asian-American biculturals,ENG00497,Chiou (2016),ENG,,,10.1016/j.ijintrel.2016.07.005
Learning in experimental 2 × 2 games,ENG00498,"Chmura, Goerg & Selten (2012)",ENG,,,10.1016/j.geb.2012.06.007
Culture and social identity in preserving cultural heritage: an experimental study,ENG00499,Chng & Narayanan (2017),ENG,,,10.1108/IJSE-10-2015-0271
Strategic reward and altruistic punishment support cooperation in a public goods game experiment,ENG00500,Choi & Ahn (2013),ENG,,,10.1016/j.joep.2013.01.001
Physiological evidence for a dual process model of the social effects of emotion in computers,ENG00501,"Choi, de Melo, Khooshabeh, Woo, & Gratch (2015)",ENG,,,10.1016/j.ijhcs.2014.10.006
"Network architecture, salience and coordination",ENG00502,"Choi, Gale, Kariv & Palfrey (2011)",ENG,,,10.1016/j.geb.2011.01.001
Lack of Association between Human Plasma Oxytocin and Interpersonal Trust in a Prisoner's Dilemma Paradigm,ENG00503,"Christensen, Shiyanov, Estepp, & Schlager (2014)",ENG,,,10.1371/journal.pone.0116172
Greasing the wheels: Pork and public goods contributions in a legislative bargaining experiment,ENG00504,Christiansen (2015),ENG,,,10.1016/j.jebo.2015.10.004
Do cultures clash? Evidence from cross-national ultimatum game experiments,ENG00505,"Chuah, Hoffmann, Jones & Williams (2007)",ENG,,,10.1016/j.jebo.2006.04.006
"Religion, ethnicity and cooperation: An experimental study",ENG00506,"Chuah, Hoffmann, Ramasamy & Tan (2014)",ENG,,,10.1037/e616352011-041
The Spite dilemma experiment in Korea,ENG00507,"Chun, Kim, & Saijo (2011)",ENG,,,NA
Cognitive Motivations of Free Riding and Cooperation and Impaired Strategic Decision Making in Schizophrenia During a Public Goods Game,ENG00508,"Chung, Kim & Jeong (2013)",ENG,,,10.1093/schbul/sbr068
Different Gain/Loss Sensitivity and Social Adaptation Ability in Gifted Adolescents during a Public Goods Game,ENG00509,"Chung, Yun, Kim, Jang & Jeong (2011)",ENG,,,10.1371/journal.pone.0017044
Eyes keep watch over you! Competition enhances joint attention in females,ENG00510,"Ciardo, Ricciardelli, Lugli, Rubichi, & Iani (2015)",ENG,,,10.1016/j.actpsy.2015.07.013
Cooperation under the threat of expulsion in a public goods experiment,ENG00511,"Cinyabuguma, Page & Putterman (2005)",ENG,,,10.1016/j.jpubeco.2004.05.011
Can second-order punishment deter perverse punishment?,ENG00512,"Cinyabuguma, Page & Putterman (2006)",ENG,,,10.1007/s10683-006-9127-z
Like mother like son? Experimental evidence on the transmission of values from parents to children,ENG00513,"Cipriani, Giuliano & Jeanne (2013)",ENG,,,10.1016/j.jebo.2013.03.002
Spatial Group Structure as Potential Mechanism to Maintain Cooperation in Fish Shoals of Unrelated Individuals,ENG00514,"Cisarovsky, Bshary, Bouzelboudjen & Bshary (2012)",ENG,,,10.1111/j.1439-0310.2012.02075.x
Effect of confederate's sex and status on competitive behavior of male and female college students,ENG00515,Clark (1983),ENG,,,10.1080/00223980.1983.9923575
House Money Effects in Public Good Experiments,ENG00516,Clark (2002a),ENG,,,10.1023/A:1020832203804
The sequential prisoner's dilemma: Evidence on reciprocation,ENG00517,Clark & Sefton (2001),ENG,,,10.1111/1468-0297.00588
When are nash equilibria self-reinforcing? An experimental analysis,ENG00518,"Clark, Kay, & Sefton (2001)",ENG,,,10.1007/s001820000054
A behavioral economic assessment of individualizing versus binding moral foundations,ENG00519,"Clark, Swails, Pontinen, Bowerman, Kriz, & Hendricks (2017)",ENG,,,10.1016/j.paid.2017.02.052
Individuals in the criminal justice system show differences in cooperative behaviour: Implications from cooperative games,ENG00520,"Clark, Thorne, Hendricks, Sharp, Clark & Cropsey (2015)",ENG,,,10.1002/cbm.1920
Five-Factor Personality and Cooperative Behavior,ENG00521,"Clark, Thorne, Vann, & Cropsey (2014)",ENG,,,NA
Cooperation and depressive symptoms,ENG00522,"Clark, Thorne, Hardy & Cropsey (2013)",ENG,,,10.1016/j.jad.2013.05.011
Testing models of non-kin cooperation: Mutualism and the Prisoner's Dilemma,ENG00523,Clements & Stephens (1995),ENG,,,10.1006/anbe.1995.0267
Multilingualism and public goods provision: An experiment in two languages in Uganda,ENG00524,Clist & Verschoor (2017),ENG,,,10.1016/j.jdeveco.2017.08.003
Behavioral Correlates of Moral Judgement,ENG00525,Coady (1986),ENG,,,10.1080/00223980.1986.9712628
Beliefs about other-regarding preferences in a sequential public goods game,ENG00526,Coats & Neilson (2005),ENG,,,10.1093/ei/cbi042
Simultaneous versus sequential public good provision and the role of refunds — An experimental study,ENG00527,"Coats, Gronberg & Grosskopf (2009)",ENG,,,10.1016/j.jpubeco.2008.06.002
Do spouses cooperate? An experimental investigation,ENG00528,"Cochard, Couprie, & Hopfensitz (2016)",ENG,,,10.1007/s11150-014-9276-3
Seeking the comparative advantage: The dynamics of individual cooperation in single vs multiple-team environments,ENG00529,Coen (2006),ENG,,,10.1016/j.obhdp.2006.02.005
Relative performance and implicit incentives in the intergroup prisoner's dilemma,ENG00530,Coen (2013),ENG,,,10.1016/j.obhdp.2012.12.003
Intermediation Reduces Punishment (and Reward),ENG00531,Coffmann (2011),ENG,,,10.1257/mic.3.4.77
The role of social structure in the maintenance of cooperative regimes,ENG00532,"Cohen, Riolo & Axelrod (2001)",ENG,,,10.1177/104346301013001001
How communication increases interpersonal cooperation in mixed-motive situations,ENG00533,"Cohen, Wildschut & Insko (2010)",ENG,,,10.1016/j.jesp.2009.09.009
A companion dog increases prosocial behavior in work groups,ENG00534,"Colarelli, McDonald, Christensen, & Honts (2017)",ENG,,,10.1080/08927936.2017.1270595
Voting for the distribution rule in a Public Good Game with heterogeneous endowments,ENG00535,Colasante & Russo (2017),ENG,,,10.1007/s11403-016-0172-1
An examination of the power-inversion effect in three-person mixed-motive games,ENG00536,Cole (1969),ENG,,,10.1037/h0027029
The propensity to attack others as a function of the distribution of resources in a three person game,ENG00537,Cole & Phillips (1967),ENG,,,10.3758/BF03330848
Environmental effects on simulated emotional and moody agents,ENG00538,"Collenette, Atkinson, Bloembergen, & Tuyls (2017)",ENG,,,http:// 10.1017/S0269888917000170
Effects of repression-sensitization on response latency in a Prisoner's Dilemma game,ENG00539,Collins (1977),ENG,,,10.2466/pr0.1977.41.1.202
Cognitive Model of Trust Dynamics Predicts Human Behavior within and between Two Games of Strategic Interaction with Computerized Confederate Agents,ENG00540,"Collins, Juvina, & Gluck (2016)",ENG,,,10.3389/fpsyg.2016.00049
Stackelberg reasoning in mixed-motive games: An experimental investigation,ENG00541,Colman & Stirk (1998),ENG,,,10.1016/S0167-4870(98)00008-7
Leadership in Altruistic Punishment and Reward,ENG00542,Columbus (2013),ENG,,,NA
Time Pressure Increases Cooperation in Competitively Framed Social Dilemmas,ENG00543,Cone & Rand (2014),ENG,,,10.1371/journal.pone.0115756
Experience as a factor in experimental gaming behavior,ENG00544,Conrath (1970),ENG,,,10.1177/002200277001400205
"Sex role and ""cooperation"" in the game of Chicken",ENG00545,Conrath (1972),ENG,,,10.1177/002200277201600311
Trust Building via Risk Taking: A Cross-Societal Experiment,ENG00546,"Cook, Yamagishi, Cheshire, Cooper, Matsuda, & Mashima (2005)",ENG,,,10.1177/019027250506800202
"Communication, Renegotiation, and the Scope for Collusion",ENG00547,Cooper & Kuehn (2014),ENG,,,10.1257/mic.6.2.247
Learning to Punish: Experimental Evidence from a Sequential Step-Level Public Goods Game,ENG00548,Cooper & Stockman (2002),ENG,,,10.1023/A:1016364608108
History dependence and the formation of social preferences: an experimental study,ENG00549,Cooper & Stockman (2011),ENG,,,10.1111/j.1465-7295.2010.00325.x
Cooperation without Reputation: Experimental Evidence from Prisoner's Dilemma Games,ENG00550,"Cooper, DeJong, Forsythe, & Ross (1996)",ENG,,,10.1006/game.1996.0013
Improving the Effectiveness of Gainsharing: The Role of Fairness and Participation,ENG00551,"Cooper, Dyck, & Frohlich (1992)",ENG,,,10.2307/2393453
Donor coordination in project funding: Evidence from a threshold public goods experiment,ENG00552,"Corazzini, Cotton & Valbonesi (2015)",ENG,,,10.1016/j.jpubeco.2015.05.005
A prize to give for: an experiment on public good funding mechanisms,ENG00553,"Corazzini, Faravelli & Stanca (2010)",ENG,,,10.1111/j.1468-0297.2009.02314.x
The Prisoner's Dilemma and the Role of Information in Setting Advertising Budgets,ENG00554,Corfman & Lehmann (1994),ENG,,,10.1080/00913367.1994.10673440
Partner Selection in Public Goods Experiments,ENG00555,"Coricelli, Fehr & Fellner (2004)",ENG,,,10.2139/ssrn.467021
An experiment on individual 'parochial altruism' revealing no connection between individual 'altruism' and individual 'parochialism',ENG00556,"Corr, Heap, Seger, & Tsutsui (2015)",ENG,,,10.3389/fpsyg.2015.01261
Reputation effects in social networks do not promote cooperation: An experimental test of the Raub & Weesie model,ENG00557,"Corten, Rosenkranz, Buskens, & Cook (2016)",ENG,,,10.1371/journal.pone.0155703
Stated Beliefs and Play in Normal-Form Games,ENG00558,Costa-Gomes & Weizsäcker (2008),ENG,,,10.1111/j.1467-937X.2008.00498.x
Cognition and Behavior in Normal-Form Games: An Experimental Study,ENG00559,"Costa-Gomes, Crawford, & Broseta (2001)",ENG,,,10.1111/1468-0262.00239
Effects of communication and cultural consequences on choices combinations in INPDG with four participants,ENG00560,"Costa, Nogueira, & Vasconcelos (2012)",ENG,,,10.14349/rlp.v44i1.938
The Jekyll and Hyde of Emotional Intelligence: Emotion-Regulation Knowledge Facilitates Both Prosocial and Interpersonally Deviant Behavior,ENG00561,"Côté, DeCelles, McCarthy, van Kleef, & Hideg (2011)",ENG,,,10.1177/0956797611416251
Inhibiting Effects of Reciprocation Wariness on Interpersonal Relationships,ENG00562,"Cotterell, Eisenberger, & Speicher (1992)",ENG,,,10.1037//0022-3514.62.4.658
How to identify trust and reciprocity,ENG00563,Cox (2004),ENG,,,10.1016/S0899-8256(03)00119-2
Inequity aversion and advantage seeking with asymmetric competition,ENG00564,Cox (2013),ENG,,,10.1016/j.jebo.2012.12.020
Cursed beliefs with common-value public goods,ENG00565,Cox (2015a),ENG,,,10.1016/j.jpubeco.2014.11.006
Decomposing the effects of negative framing in linear public goods games,ENG00566,Cox (2015b),ENG,,,10.1016/j.econlet.2014.11.015
Social preferences and cooperation in simple social dilemma games,ENG00567,"Cox, Karam, & Murphy (2017)",ENG,,,10.1016/j.socec.2017.05.002
Effects of ethnic group cultural differences on cooperative and competitive behavior on a group task,ENG00568,"Cox, Lobel, & McLeod (1991)",ENG,,,10.5465/256391
Framing and Feedback in Social Dilemmas with Partners and Strangers,ENG00569,Cox & Stoddard (2015),ENG,,,10.3390/g6040394
"Limited time perspective, values, and greed: Imagining a limited future reduces avarice in extrinsic people",ENG00570,"Cozzolino, Sheldon, Schachtman & Meyers (2009)",ENG,,,10.1016/j.jrp.2009.01.008
"Social interest, cooperation, and altruism",ENG00571,Crandall & Harris (1991a),ENG,,,NA
Ambivalent effect of member portraits in virtual groups,ENG00572,Cress (2005),ENG,,,10.1111/j.1365-2729.2005.00136.x
Guidelines and Feedback in Information Exchange: The Impact of Behavioral Anchors and Descriptive Norms in a Social Dilemma,ENG00573,Cress & Kimmerle (2007),ENG,,,10.1037/1089-2699.11.1.42
Endowment heterogeneity and identifiability in the information-exchange dilemma,ENG00574,Cress & Kimmerle (2008),ENG,,,10.1016/j.chb.2007.02.022
Game Experiments on Cooperation Through Reward and Punishment,ENG00575,"Cressman, Wu, Li, & Tao (2013)",ENG,,,10.1007/s13752-013-0106-2
Partners and strangers revisited,ENG00576,Croson (1996),ENG,,,10.1016/s0165-1765(97)82136-2
The disjunction effect and reason-based choice in games,ENG00577,Croson (1999),ENG,,,10.1006/obhd.1999.2846
Thinking like a game theorist: factors affecting the frequency of equilibrium play,ENG00578,Croson (2000),ENG,,,10.1016/s0167-2681(99)00078-5
Feedback in voluntary contribution mechanisms: an experiment in team production,ENG00579,Croson (2001),ENG,,,10.1016/S0193-2306(01)08005-X
"Theories of commitment, altruism and reciprocity: Evidence from linear public goods games",ENG00580,Croson (2007),ENG,,,10.1037/e683302011-039
Identifiability of Individual Contributions in a Threshold Public Goods Experiment,ENG00581,Croson & Marks (1998),ENG,,,10.1006/jmps.1997.1203
Step Returns in Threshold Public Goods: A Meta- and Experimental Analysis,ENG00582,Croson & Marks (2000),ENG,,,10.1007/bf01669198
Limits of the effect of social information on the voluntary provision of public goods: evidence from field experiments,ENG00583,Croson & Shang (2012),ENG,,,10.1111/j.1465-7295.2012.00468.x
"Reciprocity, matching and conditional cooperation in two public goods games",ENG00584,"Croson, Fatas & Neugebauer (2005)",ENG,,,10.1016/j.econlet.2004.10.007
Excludability: A laboratory study on forced ranking in team production,ENG00585,"Croson, Fatas, Neugebauer & Morales (2015)",ENG,,,10.1016/j.jebo.2015.03.005
Group work for women: Gender and group identity in social dilemmas,ENG00586,"Croson, Marks & Snyder (2008)",ENG,,,10.1111/j.1571-9979.2008.00195.x
How moving together brings us together: when coordinated rhythmic movement affects cooperation,ENG00587,"Cross, Wilson, & Golonka (2016)",ENG,,,10.3389/fpsyg.2016.01983
"Family orientation, level of aspiration, and interpersonal bargaining",ENG00588,Crowne (1966),ENG,,,10.1037/h0023282
"Presentation format, other-person strategies, and cooperative behavior in the Prisoner's Dilemma",ENG00589,Crumbaugh & Evans (1967),ENG,,,10.2466/pr0.1967.20.3.895
An experimental test of warm glow giving,ENG00590,Crumpler & Grossman (2008),ENG,,,10.1016/j.jpubeco.2007.12.014
The interactive effect of pro-environmental disciplinary concentration under cooperation versus competition contexts,ENG00591,"Cuadrado, Tabernero, García, & Luque (2017)",ENG,,,10.1080/13504622.2015.1095860
Framing and free riding: emotional responses and punishment in social dilemma games,ENG00592,"Cubitt, Drouvelis & Gaechter (2011)",ENG,,,10.1007/s10683-010-9266-0
Conditional cooperation and betrayal aversion,ENG00593,"Cubitt, Gächter, & Quercia (2017)",ENG,,,10.1016/j.jebo.2017.06.013
Schizophrenia illness severity is associated with reduced loss aversion,ENG00594,"Currie, Buruju, Perrin, Reid, Steele, & Feltovich (2017)",ENG,,,10.1016/j.brainres.2017.03.006
The psychopath's dilemma: The effects of psychopathic personality traits in one-shot games,ENG00595,"Curry, Chesters & Viding (2011)",ENG,,,10.1016/j.paid.2010.12.036
Patience is a virtue: Cooperative people have lower discount rates,ENG00596,"Curry, Price & Price (2008)",ENG,,,10.1016/j.paid.2007.09.023
Machiavellian people's success results from monitoring their partners,ENG00597,Czibor & Bereczkei (2012),ENG,,,10.1016/j.paid.2012.03.005
Feelings and motives underlying Machiavellian behavioural strategies; narrative reports in a social dilemma situation,ENG00598,"Czibor, Vincze, & Bereczkei (2014)",ENG,,,10.1002/ijop.12077
"Pay, peek, punish? Repayment, information acquisition and punishment in a microcredit lab-in-the-field experiment",ENG00599,Czura (2015),ENG,,,10.1016/j.jdeveco.2015.07.009
The hidden side of the Ultimatum Game: The role of motivations and mind-reading in a two-level one-shot Ultimatum Game,ENG00600,"D'Addario, Pancani, Cappelletti, Greco, Monzani, & Steca (2015)",ENG,,,10.1080/20445911.2015.1042974
Aid distribution and cooperation in unequal communities,ENG00601,D'Exelle & Van den Berg (2014),ENG,,,10.1111/roiw.12092
Relative social status and conformism: Experimental evidence on local public good contributions,ENG00602,d'Adda (2017),ENG,,,10.1016/j.econlet.2017.05.005
"Push, don't nudge: Behavioral spillovers and policy instruments",ENG00603,"d'Adda, Capraro, & Tavoni (2017)",ENG,,,10.1016/j.econlet.2017.02.029
